Social Phobia,CPES,,,,,,,,,,,,,,,,,,,,,
V01504: Shy/afraid/uncomfortable meeting new people,V01504,,,,,,,,,,,,,,,,,,,,,
V01505: Shy/afraid/uncomfortable talking to authority,V01505,,,,,,,,,,,,,,,,,,,,,
V01506: Shy/afraid/uncomfortable talking in meeting/class,V01506,,,,,,,,,,,,,,,,,,,,,
V01507: Shy/afraid/uncomfortable at parties and social gatherings,V01507,,,,,,,,,,,,,,,,,,,,,
V01508: Shy/afraid/uncomfortable performing in front of audience,V01508,,,,,,,,,,,,,,,,,,,,,
V01509: Shy/afraid/uncomfortable taking imp exam though ready,V01509,,,,,,,,,,,,,,,,,,,,,
V01510: Shy/afraid/uncomfort working while someone watches,V01510,,,,,,,,,,,,,,,,,,,,,
V01511: Shy/afraid/uncomf entering room when others are present,V01511,,,,,,,,,,,,,,,,,,,,,
V01512: Shy/afraid/uncomf talking to people don't know well,V01512,,,,,,,,,,,,,,,,,,,,,
V01513: Shy/afraid/uncomf disagree with people don't know well,V01513,,,,,,,,,,,,,,,,,,,,,
V01514: Shy/afraid/uncomf write/eat/drink while other watches,V01514,,,,,,,,,,,,,,,,,,,,,
V01515: Shy/afraid/uncomf using public bathroom,V01515,,,,,,,,,,,,,,,,,,,,,
V01516: Shy/afraid/uncomf in dating situation,V01516,,,,,,,,,,,,,,,,,,,,,
V01517: Shy/afraid/uncomf being center of att/embarrassing sit,V01517,,,,,,,,,,,,,,,,,,,,,
V01521: Age 1st fear of social situations,V01521,,,,,,,,,,,,,,,,,,,,,
V01522: Estimate age 1st soc fear-computed,V01522,,,,,,,,,,,,,,,,,,,,,
V01523: Estimate age of 1st social fear,V01523,,,,,,,,,,,,,,,,,,,,,
V01528: Age 1st avoided social or perf sit due to fear-computed,V01528,,,,,,,,,,,,,,,,,,,,,
V01529: Avoid social or perf situations before started school,V01529,,,,,,,,,,,,,,,,,,,,,
V01530: Avoided social or perf situations before teenager,V01530,,,,,,,,,,,,,,,,,,,,,
V01531: Social fear situation-blush/shake,V01531,,,,,,,,,,,,,,,,,,,,,
V01532: Social fear situation-fear bladder/bowel problem,V01532,,,,,,,,,,,,,,,,,,,,,
V01533: Social fear situation-fear vomiting,V01533,,,,,,,,,,,,,,,,,,,,,
V01534: Ever have 2 or more shyness reactions,V01534,,,,,,,,,,,,,,,,,,,,,
V01535: Social fear situation-heart pound,V01535,,,,,,,,,,,,,,,,,,,,,
V01536: Social fear situation-sweat,V01536,,,,,,,,,,,,,,,,,,,,,
V01537: Social fear situationr-tremble,V01537,,,,,,,,,,,,,,,,,,,,,
V01538: Social fear situation-sick to stomach,V01538,,,,,,,,,,,,,,,,,,,,,
V01539: Social fear situation-dry mouth,V01539,,,,,,,,,,,,,,,,,,,,,
V01540: Social fear situation-chills/hot flushes,V01540,,,,,,,,,,,,,,,,,,,,,
V01541: Social fear situation-numbness/tingling sensation,V01541,,,,,,,,,,,,,,,,,,,,,
V01542: Social fear situation-trouble breathing normally,V01542,,,,,,,,,,,,,,,,,,,,,
V01543: Social fear situationr-feel like choking,V01543,,,,,,,,,,,,,,,,,,,,,
V01544: Social fear situation-pain/discomfort in chest,V01544,,,,,,,,,,,,,,,,,,,,,
V01545: Social fear situation-feel dizzy or faint,V01545,,,,,,,,,,,,,,,,,,,,,
V01546: Social fear situation-afraid might die,V01546,,,,,,,,,,,,,,,,,,,,,
V01547: Social fear situation-fear losing control/go crazy/pass out,V01547,,,,,,,,,,,,,,,,,,,,,
"V01548: Social fear situation-feel distant, not really there",V01548,,,,,,,,,,,,,,,,,,,,,
V01549: Social fear situation-feel things unreal/dreamlike,V01549,,,,,,,,,,,,,,,,,,,,,
V01551: Social fear situation-fear of panic attack,V01551,,,,,,,,,,,,,,,,,,,,,
V01552: Social fear situation-ever had panic attack,V01552,,,,,,,,,,,,,,,,,,,,,
V01553: Social fear situation-fear of being trapped,V01553,,,,,,,,,,,,,,,,,,,,,
V01554: Social fear situation-fear embarrassment/humiliation,V01554,,,,,,,,,,,,,,,,,,,,,
V01555: Social fear situation-fear of embarrassing others,V01555,,,,,,,,,,,,,,,,,,,,,
V01556: Social fear situation-fear someone look/talk/negative resp,V01556,,,,,,,,,,,,,,,,,,,,,
V01557: Social fear situation-fear of being focus of attention,V01557,,,,,,,,,,,,,,,,,,,,,
V01558: Feared most during social fear situation:1st mention,V01558,,,,,,,,,,,,,,,,,,,,,
V01561: Social fear due to phys or mental disability embarrassmt,V01561,,,,,,,,,,,,,,,,,,,,,
V01562: Social fear due to health problem-1st mention,V01562,,,,,,,,,,,,,,,,,,,,,
V01563: Social fear due to health problem-2nd mention,V01563,,,,,,,,,,,,,,,,,,,,,
V01564: Social fear due to health problem-3rd mention,V01564,,,,,,,,,,,,,,,,,,,,,
V01565: Social fear due to health problem-4th mention,V01565,,,,,,,,,,,,,,,,,,,,,
V01566: Social fear due to health problem-5th mention,V01566,,,,,,,,,,,,,,,,,,,,,
V01570: Extent to which social fear interf w/ work/social life/relat,V01570,,,,,,,,,,,,,,,,,,,,,
V01571: Emotionally upset/worried/disappt self due to social fear,V01571,,,,,,,,,,,,,,,,,,,,,
V01572: Last time strongly feared/avoided social situation,V01572,,,,,,,,,,,,,,,,,,,,,
V01573: Age last strongly feared or avoided social situation,V01573,,,,,,,,,,,,,,,,,,,,,
V01574: Severity of social fear if faced today,V01574,,,,,,,,,,,,,,,,,,,,,
V01575: # times avoided social fear in last 12 mths,V01575,,,,,,,,,,,,,,,,,,,,,
V01583: Talk to medical doc or professional about social fear,V01583,,,,,,,,,,,,,,,,,,,,,
V01584: Past year-see professional for social fear,V01584,,,,,,,,,,,,,,,,,,,,,
V01585: Talked to professional about social fears:1st mention,V01585,,,,,,,,,,,,,,,,,,,,,
V01596: Age 1st see professional for social fear,V01596,,,,,,,,,,,,,,,,,,,,,
V01597: Ever see pro for soc fear,V01597,,,,,,,,,,,,,,,,,,,,,
V01598: Tried to get professional help for social fear,V01598,,,,,,,,,,,,,,,,,,,,,
V01599: Reason didn't get help for social fear-1st mention,V01599,,,,,,,,,,,,,,,,,,,,,
V01600: Reason didn't get help for social fear-2nd mention,V01600,,,,,,,,,,,,,,,,,,,,,
V01601: 1st time seeing professional for social fear,V01601,,,,,,,,,,,,,,,,,,,,,
V01602: See psychiatrist for social fear,V01602,,,,,,,,,,,,,,,,,,,,,
V01603: See other mental health professional for social fear,V01603,,,,,,,,,,,,,,,,,,,,,
V01604: See family doctor for social fear,V01604,,,,,,,,,,,,,,,,,,,,,
V01605: See other medical doctor for social fear,V01605,,,,,,,,,,,,,,,,,,,,,
V01606: See other health professional for social fear,V01606,,,,,,,,,,,,,,,,,,,,,
V01607: See religious or spiritual advisor for social fear,V01607,,,,,,,,,,,,,,,,,,,,,
V01608: See other healer for social fear,V01608,,,,,,,,,,,,,,,,,,,,,
V01609: Professional was helpful,V01609,,,,,,,,,,,,,,,,,,,,,
V01610: Soc fear treatment received-1st mention,V01610,,,,,,,,,,,,,,,,,,,,,
V01611: Soc fear treatment received-2nd mention,V01611,,,,,,,,,,,,,,,,,,,,,
V01614: # times hospitalized for social fear,V01614,,,,,,,,,,,,,,,,,,,,,
V01615: Received help from family/friends/acquaint for social fear,V01615,,,,,,,,,,,,,,,,,,,,,
V01616: Tried to get help from family/friends/acquaint for social fear,V01616,,,,,,,,,,,,,,,,,,,,,
V01617: Received helpful treatment for social fear,V01617,,,,,,,,,,,,,,,,,,,,,
V01619: Total profs seen for social fear incl helpful treatment doc,V01619,,,,,,,,,,,,,,,,,,,,,
V01620: # professional ever talked to about social fear,V01620,,,,,,,,,,,,,,,,,,,,,
V01621: Received prof treatment for social fear in past 12 mths,V01621,,,,,,,,,,,,,,,,,,,,,
V01622: Hospitalized overnight for social fear,V01622,,,,,,,,,,,,,,,,,,,,,
V01623: # close relatives with strong fear of social perf situations,V01623,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
