Substance Use,CPES,,,,,,,,,,,,,,,,,,,,,
V03266: Age 1st drank alcohol,V03266,,,,,,,,,,,,,,,,,,,,,
V03267: Age 1st drank 12 drinks per year-compute,V03267,,,,,,,,,,,,,,,,,,,,,
V03269: 1st drank 12 drinks per year before teenager,V03269,,,,,,,,,,,,,,,,,,,,,
V03270: 1st drank 12 drinks per year before your 20s,V03270,,,,,,,,,,,,,,,,,,,,,
V03271: # times at least 1 drink past 12 mths,V03271,,,,,,,,,,,,,,,,,,,,,
V03281: Drinking ever interfered w/ work/school/job/home,V03281,,,,,,,,,,,,,,,,,,,,,
V03282: Drinking problem cause family/friend argue/probs,V03282,,,,,,,,,,,,,,,,,,,,,
V03283: Continue drinking though caused problem w/ people,V03283,,,,,,,,,,,,,,,,,,,,,
V03284: Ever jeopardized safety due to drinking,V03284,,,,,,,,,,,,,,,,,,,,,
V03290: Age 1st drinking problem occurred,V03290,,,,,,,,,,,,,,,,,,,,,
V03293: Drinking problems occurred before teens,V03293,,,,,,,,,,,,,,,,,,,,,
V03294: Drinking problems occurred before 20s,V03294,,,,,,,,,,,,,,,,,,,,,
V03295: How recently had problem because of drinking,V03295,,,,,,,,,,,,,,,,,,,,,
V03296: Age last problem because of drinking,V03296,,,,,,,,,,,,,,,,,,,,,
V03297: # of different years in life had problem because of drinking,V03297,,,,,,,,,,,,,,,,,,,,,
V03298: Ever had irresistable urge to drink,V03298,,,,,,,,,,,,,,,,,,,,,
V03299: Ever need more alcohol for buzz than used to,V03299,,,,,,,,,,,,,,,,,,,,,
V03301: Ever drank to avoid feeling ill when you stopped drinking,V03301,,,,,,,,,,,,,,,,,,,,,
V03308: Ever cont'd drinking though it caused phys or emo problems,V03308,,,,,,,,,,,,,,,,,,,,,
V03311: Recency had alcohol problems,V03311,,,,,,,,,,,,,,,,,,,,,
V03312: # of years in life had 1 or more alcohol problems,V03312,,,,,,,,,,,,,,,,,,,,,
V03313: Had 3 or more alcohol problems in same year,V03313,,,,,,,,,,,,,,,,,,,,,
"V03318: After problems began, # of attempts to quit drinking",V03318,,,,,,,,,,,,,,,,,,,,,
V03323: # of times not drinking 3 or more months,V03323,,,,,,,,,,,,,,,,,,,,,
V03325: Past year-how often drinking hurt health,V03325,,,,,,,,,,,,,,,,,,,,,
V03326: Past year-how often drinking hurt family,V03326,,,,,,,,,,,,,,,,,,,,,
V03329: Past year-felt unhappy due to drinking,V03329,,,,,,,,,,,,,,,,,,,,,
V03330: Ever used marijuana/hashish,V03330,,,,,,,,,,,,,,,,,,,,,
V03331: Ever used cocaine in any form,V03331,,,,,,,,,,,,,,,,,,,,,
V03332: Ever abused prescription,V03332,,,,,,,,,,,,,,,,,,,,,
V03333: Ever used other drugs,V03333,,,,,,,,,,,,,,,,,,,,,
V03335: Age 1st used marijuana/hash,V03335,,,,,,,,,,,,,,,,,,,,,
V03336: Used marijuana/hash before teens,V03336,,,,,,,,,,,,,,,,,,,,,
V03337: Used marijuana/hash before 20s,V03337,,,,,,,,,,,,,,,,,,,,,
V03338: Age 1st used cocaine,V03338,,,,,,,,,,,,,,,,,,,,,
V03341: Age 1st abused prescription,V03341,,,,,,,,,,,,,,,,,,,,,
V03344: Age 1st used other drugs,V03344,,,,,,,,,,,,,,,,,,,,,
V03347: Used marijuana/hash in past 12 mths,V03347,,,,,,,,,,,,,,,,,,,,,
V03348: Used cocaine in past 12 mths,V03348,,,,,,,,,,,,,,,,,,,,,
V03349: Use prescription without recommendation in past 12 mths,V03349,,,,,,,,,,,,,,,,,,,,,
V03350: Used other drugs in past 12 mths,V03350,,,,,,,,,,,,,,,,,,,,,
V03351: Frequency of marijuana/hash use in past 12 mths,V03351,,,,,,,,,,,,,,,,,,,,,
V03443: Problems due to drug use,V03443,,,,,,,,,,,,,,,,,,,,,
V03361: Jeopardized safety due to drugs,V03361,,,,,,,,,,,,,,,,,,,,,
V03365: Remember exact age 1st had drug problem,V03365,,,,,,,,,,,,,,,,,,,,,
V03366: Age 1st drug problems occurred,V03366,,,,,,,,,,,,,,,,,,,,,
V03372: Recently had problem because of drug use,V03372,,,,,,,,,,,,,,,,,,,,,
V03373: Age last problem because of drug use,V03373,,,,,,,,,,,,,,,,,,,,,
V03377: Had ill feelings when stopped/cut down drug use,V03377,,,,,,,,,,,,,,,,,,,,,
V03378: Used drugs to avoid ill feelings when trying to stop/cut down,V03378,,,,,,,,,,,,,,,,,,,,,
V03390: Ever had 3 or more drug problems in the same year,V03390,,,,,,,,,,,,,,,,,,,,,
V03383: Ever gave up/reduced activities due to drugs,V03383,,,,,,,,,,,,,,,,,,,,,
V03384: Ever cont'd drug use though it caused phys or emo problems,V03384,,,,,,,,,,,,,,,,,,,,,
V03411: Ever see doctor about drugs,V03411,,,,,,,,,,,,,,,,,,,,,
V03410: Talked to professional about use of drugs/alc in past year,V03410,,,,,,,,,,,,,,,,,,,,,
V03412: Age 1st see doctor about drugs,V03412,,,,,,,,,,,,,,,,,,,,,
V03424: Professional was helpful,V03424,,,,,,,,,,,,,,,,,,,,,
V03425: Treatment received for drug/alcohol problem-1st mention,V03425,,,,,,,,,,,,,,,,,,,,,
V03430: Received helpful/effective treatment for drug/alcohol problem,V03430,,,,,,,,,,,,,,,,,,,,,
V03431: Age 1st got helpful/effective treatment for drug/alcohol prob,V03431,,,,,,,,,,,,,,,,,,,,,
V03432: # of professionals ever talked to incl helpful treatment doctor,V03432,,,,,,,,,,,,,,,,,,,,,
V03433: # of professionals ever talked to about drug/alc problem,V03433,,,,,,,,,,,,,,,,,,,,,
V03434: Received prof treatment for use of drug/alcohol in past year,V03434,,,,,,,,,,,,,,,,,,,,,
V03435: Hospitalized overnight for drug problems,V03435,,,,,,,,,,,,,,,,,,,,,
V03437: Ever go to self-help group for drug/alc problems,V03437,,,,,,,,,,,,,,,,,,,,,
V03439: # of self-help meetings attended for drug/alc in past year,V03439,,,,,,,,,,,,,,,,,,,,,
V03440: # of relatives ever had drug/alcohol problems,V03440,,,,,,,,,,,,,,,,,,,,,
V03441: Received help from fam/friends/acquaint for drug/alc prob,V03441,,,,,,,,,,,,,,,,,,,,,
V03442: Tried to get help from fam/friends/acquaint for drug/alc prob,V03442,,,,,,,,,,,,,,,,,,,,,
V09215: Why not substance help from fam/friends-1st mention,V09215,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
